"id1" "id2" "simpson"
1 2 0.3125
1 3 0.5
2 3 0.823529411764706
1 4 0.875
2 4 0.25
3 4 0.4375
1 5 0.875
2 5 0.3125
3 5 0.5
4 5 0.875
1 6 0.153846153846154
2 6 0.538461538461538
3 6 0.384615384615385
5 6 0.153846153846154
1 7 0.866666666666667
2 7 0.4
3 7 0.6
4 7 0.8
5 7 0.733333333333333
6 7 0.153846153846154
8 9 0.866666666666667
1 10 0.25
4 10 0.25
5 10 0.25
7 10 0.133333333333333
8 10 0.2
9 10 0.117647058823529
8 11 0.466666666666667
9 11 0.3125
10 11 0.4375
1 12 0.3125
4 12 0.375
5 12 0.375
7 12 0.133333333333333
8 12 0.0666666666666667
9 12 0.0625
10 12 0.75
11 12 0.3125
1 13 0.625
2 13 0.6875
3 13 0.875
4 13 0.5625
5 13 0.625
6 13 0.307692307692308
7 13 0.733333333333333
10 13 0.0625
12 13 0.0625
1 14 0.2
2 14 0.8
3 14 0.666666666666667
4 14 0.133333333333333
5 14 0.2
6 14 0.769230769230769
7 14 0.266666666666667
13 14 0.6
1 15 0.923076923076923
2 15 0.230769230769231
3 15 0.461538461538462
4 15 1
5 15 1
7 15 0.769230769230769
10 15 0.307692307692308
12 15 0.384615384615385
13 15 0.615384615384615
14 15 0.0769230769230769
1 16 0.8125
2 16 0.4375
3 16 0.625
4 16 0.75
5 16 0.75
6 16 0.230769230769231
7 16 1
10 16 0.125
12 16 0.125
13 16 0.75
14 16 0.333333333333333
15 16 0.769230769230769
1 17 0.857142857142857
2 17 0.214285714285714
3 17 0.428571428571429
4 17 0.928571428571429
5 17 0.928571428571429
7 17 0.642857142857143
10 17 0.285714285714286
12 17 0.5
13 17 0.571428571428571
14 17 0.0714285714285714
15 17 0.923076923076923
16 17 0.642857142857143
1 18 0.466666666666667
2 18 0.0666666666666667
3 18 0.133333333333333
4 18 0.533333333333333
5 18 0.533333333333333
7 18 0.266666666666667
10 18 0.466666666666667
11 18 0.133333333333333
12 18 0.733333333333333
13 18 0.2
15 18 0.538461538461538
16 18 0.266666666666667
17 18 0.642857142857143
1 19 0.4
2 19 0.0666666666666667
3 19 0.0666666666666667
4 19 0.466666666666667
5 19 0.466666666666667
7 19 0.2
10 19 0.666666666666667
11 19 0.266666666666667
12 19 0.933333333333333
13 19 0.133333333333333
15 19 0.461538461538462
16 19 0.2
17 19 0.571428571428571
18 19 0.733333333333333
8 20 0.357142857142857
9 20 0.214285714285714
10 20 0.642857142857143
11 20 0.857142857142857
12 20 0.5
18 20 0.214285714285714
19 20 0.428571428571429
8 21 0.866666666666667
